Model,Run_ID,Accuracy,Precision,Recall,F1-Score,ROC-AUC
RandomForestClassifier,calibrated_run_1,0.9829129373474369,0.988647114474929,0.99146110056926,0.9900521080056844,0.9802493900786121
GradientBoostingClassifier,calibrated_run_1,0.9869812855980472,0.9914772727272727,0.9933586337760911,0.9924170616113743,0.9786446191379777
ExtraTreesClassifier,calibrated_run_1,0.9820992676973149,0.9867924528301887,0.9924098671726755,0.989593188268685,0.9784928164814314
LogisticRegression_L1,calibrated_run_1,0.9576891781936534,0.9571167883211679,0.9952561669829222,0.9758139534883721,0.9628354567633506
VotingClassifier,calibrated_run_1,0.985353946297803,0.9896030245746692,0.9933586337760911,0.9914772727272727,0.9747465437788019
